File Name,Dataset,aid,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
ECO2LSTE_001_SDS_LST_doy2022001085536_aid0001,SDS_LST,aid0001,2022-01-01 08:55:36 UTC,19786,005,0601,True,1940.0,276.96,280.88,"(276.96,280.88)",279.1088969,0.6657217,0.4431854,279.56,280.72,279.16,277.52,278.74
ECO2LSTE_001_SDS_LST_doy2022003152758_aid0001,SDS_LST,aid0001,2022-01-03 15:27:58 UTC,19821,013,0601,True,1952.0,273.64,278.52,"(273.64,278.52)",275.4459836,0.6936092,0.4810937,275.84,277.1,275.44,273.74,275.0
ECO2LSTE_001_SDS_LST_doy2022005071923_aid0001,SDS_LST,aid0001,2022-01-05 07:19:23 UTC,19847,001,0601,True,1931.0,278.0,282.5,"(278.0,282.5)",279.6045676,0.6654495,0.4428231,279.93,281.1,279.52,278.0,279.14
ECO2LSTE_001_SDS_LST_doy2022007135159_aid0001,SDS_LST,aid0001,2022-01-07 13:51:59 UTC,19882,014,0601,True,1964.0,277.76,282.36,"(277.76,282.36)",280.3962933,1.3337718,1.7789472,281.62,282.36,280.75,277.76,279.0
ECO2LSTE_001_SDS_LST_doy2022013040653_aid0001,SDS_LST,aid0001,2022-01-13 04:06:53 UTC,19969,001,0601,True,1959.0,267.16,280.62,"(267.16,280.62)",274.1890148,2.825816,7.9852363,276.3,280.62,274.66,267.16,272.02
ECO2LSTE_001_SDS_LST_doy2022014112806_aid0001,SDS_LST,aid0001,2022-01-14 11:28:06 UTC,19989,015,0601,True,1952.0,272.82,282.02,"(272.82,282.02)",278.5738422,2.0544156,4.2206234,280.18,282.02,279.2,272.84,277.24
ECO2LSTE_001_SDS_LST_doy2022017023206_aid0001,SDS_LST,aid0001,2022-01-17 02:32:06 UTC,20030,002,0601,True,1949.0,232.68,243.6,"(232.68,243.6)",238.5855823,1.6885125,2.8510744,239.74,243.08,238.52,234.08,237.46
ECO2LSTE_001_SDS_LST_doy2022018095255_aid0001,SDS_LST,aid0001,2022-01-18 09:52:55 UTC,20050,015,0601,True,1942.0,266.64,271.26,"(266.64,271.26)",268.9833574,0.7117674,0.5066128,269.4,270.6,269.0,267.4,268.6
ECO2LSTE_001_SDS_LST_doy2022021005701_aid0001,SDS_LST,aid0001,2022-01-21 00:57:01 UTC,20091,001,0601,True,1959.0,287.44,291.54,"(287.44,291.54)",289.4519142,0.5973273,0.3568,289.82,290.96,289.42,287.92,289.06
ECO2LSTE_001_SDS_LST_doy2022022081803_aid0001,SDS_LST,aid0001,2022-01-22 08:18:03 UTC,20111,016,0601,False,1968.0,282.32,285.9,"(282.32,285.9)",284.1827642,0.4814296,0.2317745,284.48,285.4,284.14,282.94,283.86
ECO2LSTE_001_SDS_LST_doy2022028214621_aid0001,SDS_LST,aid0001,2022-01-28 21:46:21 UTC,20213,001,0601,True,1932.0,268.56,296.68,"(268.56,296.68)",283.4700414,5.296024,28.0478706,286.62,294.94,284.55,272.72,281.06
ECO2LSTE_001_SDS_LST_doy2022030050717_aid0001,SDS_LST,aid0001,2022-01-30 05:07:17 UTC,20233,016,0601,True,1964.0,278.36,283.38,"(278.36,283.38)",280.7970876,0.6993873,0.4891426,281.24,282.5,280.82,279.1,280.38
ECO2LSTE_001_SDS_LST_doy2022032201046_aid0001,SDS_LST,aid0001,2022-02-01 20:10:46 UTC,20274,001,0601,True,1948.0,278.88,300.5,"(278.88,300.5)",292.3727207,4.2217536,17.8232035,295.82,300.5,292.88,281.42,290.0
ECO2LSTE_001_SDS_LST_doy2022034033131_aid0001,SDS_LST,aid0001,2022-02-03 03:31:31 UTC,20294,015,0601,True,1954.0,281.1,285.04,"(281.1,285.04)",282.6940839,0.6480594,0.419981,283.08,284.32,282.64,281.1,282.24
ECO2LSTE_001_SDS_LST_doy2022035192301_aid0001,SDS_LST,aid0001,2022-02-04 19:23:01 UTC,20320,003,0601,True,1959.0,292.7,301.08,"(292.7,301.08)",297.4529658,1.0087933,1.0176638,298.12,299.84,297.66,294.92,296.84
ECO2LSTE_001_SDS_LST_doy2022036183449_aid0001,SDS_LST,aid0001,2022-02-05 18:34:49 UTC,20335,001,0601,True,1950.0,295.02,303.56,"(295.02,303.56)",299.2074872,1.1276389,1.2715694,299.98,301.9,299.44,296.28,298.5
ECO2LSTE_001_SDS_LST_doy2022039174724_aid0001,SDS_LST,aid0001,2022-02-08 17:47:24 UTC,20381,004,0601,True,1959.0,290.98,297.92,"(290.98,297.92)",294.1336498,0.8746569,0.7650247,294.74,296.36,294.28,291.94,293.62
ECO2LSTE_001_SDS_LST_doy2022043161126_aid0001,SDS_LST,aid0001,2022-02-12 16:11:26 UTC,20442,002,0601,True,1951.0,286.24,290.02,"(286.24,290.02)",288.1077601,0.5313224,0.2823035,288.48,289.52,288.12,286.7,287.76
ECO2LSTE_001_SDS_LST_doy2022045224401_aid0001,SDS_LST,aid0001,2022-02-14 22:44:01 UTC,20477,011,0601,True,1938.0,289.7,303.02,"(289.7,303.02)",298.7618163,2.2557068,5.088213,300.46,303.02,299.26,293.2,297.5
ECO2LSTE_001_SDS_LST_doy2022047143539_aid0001,SDS_LST,aid0001,2022-02-16 14:35:39 UTC,20503,001,0601,False,1951.0,276.3,279.22,"(276.3,279.22)",277.6643772,0.4935948,0.2436358,277.98,278.94,277.66,276.38,277.34
ECO2LSTE_001_SDS_LST_doy2022049210748_aid0001,SDS_LST,aid0001,2022-02-18 21:07:48 UTC,20538,012,0601,True,1954.0,299.76,310.1,"(299.76,310.1)",305.9037769,1.2284521,1.5090946,306.72,308.92,306.04,303.04,305.24
ECO2LSTE_001_SDS_LST_doy2022051125922_aid0001,SDS_LST,aid0001,2022-02-20 12:59:22 UTC,20564,003,0601,True,1945.0,279.26,283.1,"(279.26,283.1)",280.7540771,0.6329567,0.4006341,281.08,282.22,280.66,279.26,280.32
ECO2LSTE_001_SDS_LST_doy2022053193200_aid0001,SDS_LST,aid0001,2022-02-22 19:32:00 UTC,20599,008,0601,True,281.0,290.2,298.52,"(290.2,298.52)",295.6346619,1.6162815,2.6123658,296.86,298.52,295.92,292.34,294.88
ECO2LSTE_001_SDS_LST_doy2022056184357_aid0001,SDS_LST,aid0001,2022-02-25 18:43:57 UTC,20645,007,0601,True,1947.0,292.56,302.92,"(292.56,302.92)",298.917925,1.2907163,1.6659486,299.76,301.9,299.2,296.0,298.24
