Statistics,2080.01,2083.01,2083.02,2084.01,2085.02,2087.1,2087.2,2088.01,2088.02,2089.02,2089.03,2089.04,2091.03,2091.04,2091.05,2091.06,2092.01,2092.02,2093,2094.01,2094.02,2094.03,2095.1,2095.2,2098.1,2098.2,2100.1,2111.23,2111.24,2122.02,2122.03,2122.04,2134.01,2134.02,TOTAL
total_pop,"2,452","1,904","4,881","4,092","4,208","4,757","3,917","3,397","2,792","2,376","3,955","3,816","3,648","2,485","3,231","2,531","3,026","1,485","4,763","4,095","4,296","4,311","2,635","2,569","2,740","2,559","3,349","1,748","4,321","3,417","2,733","3,431","4,818","4,697","115,435"
pop_density,"11,025.90","53,050.80","28,733.20","46,144.30","41,750.50","72,312.30","61,583.30","37,559.80","34,191.10","33,435.70","64,307.40","88,161.20","76,186.60","91,999.80","100,547.30","29,578.20","46,600.70","15,826.50","40,272.60","49,177.50","81,674.40","80,794.80","37,398.50","28,782.00","47,364.40","37,004.60","21,208.90","26,316.60","28,329.40","42,863.10","66,581.70","41,683.30","63,633.70","31,045.80","40,539.50"
area,0.22,0.04,0.17,0.09,0.1,0.07,0.06,0.09,0.08,0.07,0.06,0.04,0.05,0.03,0.03,0.09,0.06,0.09,0.12,0.08,0.05,0.05,0.07,0.09,0.06,0.07,0.16,0.07,0.15,0.08,0.04,0.08,0.08,0.15,2.85
total_workers,"1,828",961,"2,248","2,154","2,011","2,904","2,070","1,507","1,473","1,251","2,018","1,424","1,560","1,120","1,044","1,586","2,146",580,"2,168","1,761","2,234","1,738","1,280","1,270","1,000","1,230","1,516","1,135","2,291","1,947","1,366","1,801","2,586","2,290","57,498"
pct_car_truck_van,59.10%,45.10%,62.50%,52.90%,56.90%,62.80%,43.60%,54.90%,59.60%,43.30%,31.40%,33.90%,50.20%,52.70%,49.50%,62.90%,50.30%,53.10%,45.70%,45.00%,26.20%,42.10%,54.10%,49.20%,48.70%,62.30%,45.40%,46.90%,56.70%,52.60%,51.80%,64.10%,70.30%,68.90%,52.20%
pct_drove_alone,41.10%,34.40%,52.60%,39.10%,48.40%,57.00%,32.50%,46.70%,48.80%,25.30%,20.80%,25.50%,36.70%,38.90%,35.00%,54.40%,41.90%,40.70%,40.00%,34.20%,18.10%,35.10%,45.90%,33.90%,40.50%,55.40%,38.90%,46.90%,49.90%,43.50%,43.40%,48.90%,67.00%,62.80%,42.90%
pct_carpooled,18.00%,10.60%,10.00%,13.80%,8.50%,5.90%,11.10%,8.20%,10.80%,17.90%,10.60%,8.40%,13.50%,13.80%,14.60%,8.50%,8.40%,12.40%,5.70%,10.70%,8.10%,7.00%,8.20%,15.40%,8.20%,6.90%,6.50%,0.00%,6.70%,9.10%,8.40%,15.20%,3.30%,6.10%,9.40%
pct_pubtransit,14.60%,39.70%,22.80%,42.50%,27.80%,19.70%,43.80%,26.40%,20.10%,44.20%,57.80%,43.80%,41.40%,33.00%,40.30%,17.10%,11.70%,16.00%,28.90%,46.10%,57.30%,44.90%,29.30%,27.60%,35.00%,25.30%,35.10%,17.10%,15.50%,36.30%,32.20%,25.30%,25.60%,20.40%,31.10%
pct_motorcycle,0.00%,0.00%,0.00%,0.00%,0.10%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.60%,0.00%,0.00%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%
pct_bike,0.00%,3.00%,1.30%,1.00%,0.50%,0.00%,0.50%,3.10%,2.40%,0.00%,3.20%,2.40%,0.90%,0.00%,3.20%,0.00%,0.00%,0.00%,2.10%,0.00%,0.00%,0.70%,2.20%,0.60%,0.90%,0.00%,2.80%,0.00%,0.70%,0.00%,0.00%,2.10%,0.00%,1.20%,1.00%
pcty_walked,15.00%,4.60%,3.20%,0.00%,9.90%,7.70%,3.70%,6.90%,8.30%,7.80%,5.90%,13.80%,2.50%,4.10%,3.80%,9.80%,16.00%,14.30%,14.10%,2.00%,8.50%,9.90%,2.60%,12.30%,9.60%,7.30%,9.20%,9.50%,10.10%,1.70%,2.00%,3.30%,2.30%,1.80%,7.00%
pct_other,0.00%,1.50%,1.70%,1.10%,1.10%,0.00%,1.20%,0.00%,0.00%,0.40%,1.50%,0.00%,0.00%,0.50%,0.00%,0.00%,0.00%,2.20%,0.00%,0.00%,1.10%,0.00%,0.60%,2.10%,3.60%,0.00%,0.60%,1.00%,0.00%,3.10%,0.00%,0.00%,0.70%,1.40%,0.70%
